trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
147,False,"{'a': 0.1, 'e': 0.9412000000000065}",30,0,-209.88599756772052,"{0: 17, 1: 3, 2: 5, 3: 2, 4: 3}",0
148,False,"{'a': 0.1, 'e': 0.9408000000000065}",30,0,-132.5023856621608,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
149,False,"{'a': 0.1, 'e': 0.9404000000000066}",25,0,-118.14811470037833,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
150,False,"{'a': 0.1, 'e': 0.9400000000000066}",25,0,-106.01615459057128,"{0: 13, 1: 2, 2: 9, 3: 1, 4: 0}",0
151,False,"{'a': 0.1, 'e': 0.9396000000000067}",20,5,-126.70971076625493,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 3}",1
152,False,"{'a': 0.1, 'e': 0.9392000000000067}",25,0,-57.51559402202157,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
153,False,"{'a': 0.1, 'e': 0.9388000000000067}",20,0,-167.16099288027186,"{0: 9, 1: 4, 2: 4, 3: 0, 4: 3}",0
154,False,"{'a': 0.1, 'e': 0.9384000000000068}",20,0,-153.197896226608,"{0: 13, 1: 2, 2: 0, 3: 2, 4: 3}",0
155,False,"{'a': 0.1, 'e': 0.9380000000000068}",20,0,-93.55279345994691,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
156,False,"{'a': 0.1, 'e': 0.9376000000000069}",35,7,-123.84401114121937,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 2}",1
157,False,"{'a': 0.1, 'e': 0.9372000000000069}",30,0,-109.81510294366373,"{0: 20, 1: 2, 2: 6, 3: 1, 4: 1}",0
158,False,"{'a': 0.1, 'e': 0.936800000000007}",20,0,-54.47630811218341,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
159,False,"{'a': 0.1, 'e': 0.936400000000007}",20,0,-105.06355560435422,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
160,False,"{'a': 0.1, 'e': 0.936000000000007}",25,0,-206.36813548277303,"{0: 11, 1: 3, 2: 6, 3: 3, 4: 2}",0
161,False,"{'a': 0.1, 'e': 0.9356000000000071}",20,0,-117.63415964160009,"{0: 15, 1: 0, 2: 1, 3: 2, 4: 2}",0
162,False,"{'a': 0.1, 'e': 0.9352000000000071}",35,0,-191.9884981232696,"{0: 22, 1: 1, 2: 9, 3: 0, 4: 3}",0
163,False,"{'a': 0.1, 'e': 0.9348000000000072}",25,0,-150.1238754472922,"{0: 13, 1: 5, 2: 4, 3: 1, 4: 2}",0
164,False,"{'a': 0.1, 'e': 0.9344000000000072}",20,0,-110.34472977761598,"{0: 10, 1: 1, 2: 6, 3: 3, 4: 0}",0
165,False,"{'a': 0.1, 'e': 0.9340000000000073}",20,0,-62.22786948791527,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
166,False,"{'a': 0.1, 'e': 0.9336000000000073}",20,0,-90.89881605396072,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
167,False,"{'a': 0.1, 'e': 0.9332000000000074}",30,0,-220.6736375309891,"{0: 14, 1: 1, 2: 11, 3: 2, 4: 2}",0
168,False,"{'a': 0.1, 'e': 0.9328000000000074}",20,0,2.72252571449171,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
169,False,"{'a': 0.1, 'e': 0.9324000000000074}",25,0,-82.15287549924555,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
170,False,"{'a': 0.1, 'e': 0.9320000000000075}",20,0,-101.74806222023629,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
171,False,"{'a': 0.1, 'e': 0.9316000000000075}",20,0,-136.50123579565025,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
172,False,"{'a': 0.1, 'e': 0.9312000000000076}",20,0,-128.00687467127642,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
173,False,"{'a': 0.1, 'e': 0.9308000000000076}",20,7,-61.730883258034574,"{0: 7, 1: 4, 2: 1, 3: 0, 4: 1}",1
174,False,"{'a': 0.1, 'e': 0.9304000000000077}",20,0,-11.226635610641218,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
175,False,"{'a': 0.1, 'e': 0.9300000000000077}",20,0,-128.27378329717624,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
176,False,"{'a': 0.1, 'e': 0.9296000000000078}",20,0,-81.80491826999902,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
177,False,"{'a': 0.1, 'e': 0.9292000000000078}",30,0,-173.0658973810821,"{0: 16, 1: 3, 2: 8, 3: 1, 4: 2}",0
178,False,"{'a': 0.1, 'e': 0.9288000000000078}",20,0,-129.21633652518383,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",1
179,False,"{'a': 0.1, 'e': 0.9284000000000079}",25,2,-27.7715095714382,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 0}",1
180,False,"{'a': 0.1, 'e': 0.9280000000000079}",20,0,-118.20193481231226,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
181,False,"{'a': 0.1, 'e': 0.927600000000008}",25,0,-166.8969529378622,"{0: 12, 1: 5, 2: 4, 3: 2, 4: 2}",0
182,False,"{'a': 0.1, 'e': 0.927200000000008}",20,1,-45.89129547751292,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 0}",1
