trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
160,False,"{'a': 0.1, 'e': 0.9200000000000088}",30,0,-123.74360624007522,"{0: 18, 1: 3, 2: 7, 3: 1, 4: 1}",0
161,False,"{'a': 0.1, 'e': 0.9195000000000089}",30,7,-111.79234573143945,"{0: 16, 1: 1, 2: 3, 3: 1, 4: 2}",1
162,False,"{'a': 0.1, 'e': 0.9190000000000089}",20,0,-101.59835723612849,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
163,False,"{'a': 0.1, 'e': 0.918500000000009}",20,0,-90.33953300182148,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0
164,False,"{'a': 0.1, 'e': 0.918000000000009}",20,0,-124.16186337345893,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
165,False,"{'a': 0.1, 'e': 0.9175000000000091}",30,0,-90.97230409353983,"{0: 21, 1: 2, 2: 5, 3: 1, 4: 1}",0
166,False,"{'a': 0.1, 'e': 0.9170000000000091}",20,13,-7.3438554517711125,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
167,False,"{'a': 0.1, 'e': 0.9165000000000092}",25,0,-107.71120815975247,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
168,False,"{'a': 0.1, 'e': 0.9160000000000093}",30,0,-133.13940906530559,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
169,False,"{'a': 0.1, 'e': 0.9155000000000093}",20,0,-74.04350791772072,"{0: 9, 1: 5, 2: 6, 3: 0, 4: 0}",0
170,False,"{'a': 0.1, 'e': 0.9150000000000094}",20,0,-155.46178595543464,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 3}",0
171,False,"{'a': 0.1, 'e': 0.9145000000000094}",25,0,-165.460763637139,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 3}",0
172,False,"{'a': 0.1, 'e': 0.9140000000000095}",25,2,-90.6286207226617,"{0: 14, 1: 1, 2: 5, 3: 3, 4: 0}",1
173,False,"{'a': 0.1, 'e': 0.9135000000000095}",25,0,-111.85734291856693,"{0: 15, 1: 2, 2: 6, 3: 1, 4: 1}",0
174,False,"{'a': 0.1, 'e': 0.9130000000000096}",30,0,-105.23596289821825,"{0: 19, 1: 3, 2: 7, 3: 0, 4: 1}",0
175,False,"{'a': 0.1, 'e': 0.9125000000000096}",20,0,-108.53205948178211,"{0: 10, 1: 4, 2: 4, 3: 1, 4: 1}",0
176,False,"{'a': 0.1, 'e': 0.9120000000000097}",25,0,-31.253138513818204,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
177,False,"{'a': 0.1, 'e': 0.9115000000000097}",20,0,-44.074955273601155,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
178,False,"{'a': 0.1, 'e': 0.9110000000000098}",20,0,-84.3665882581548,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
179,False,"{'a': 0.1, 'e': 0.9105000000000099}",25,10,-64.5879990272213,"{0: 8, 1: 2, 2: 3, 3: 2, 4: 0}",1
180,False,"{'a': 0.1, 'e': 0.9100000000000099}",20,0,-78.43621637500492,"{0: 14, 1: 1, 2: 3, 3: 1, 4: 1}",0
181,False,"{'a': 0.1, 'e': 0.90950000000001}",25,0,-186.54876054514887,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
182,False,"{'a': 0.1, 'e': 0.90900000000001}",30,0,-212.3612491907839,"{0: 19, 1: 0, 2: 6, 3: 1, 4: 4}",0
